epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.884,3.36941,25.9245,0.96698,0.0002,0.05941,0.00012,3e-05,3.79805,30.3414,0.93813,0.000654321,0.000654321,0.000654321
2,258.655,3.44548,14.2271,0.96507,0.00143,0.42574,0.01831,0.00397,2.93411,16.5636,0.85367,0.0012774,0.0012774,0.0012774
3,387.677,3.42092,12.7052,0.93976,0.50998,0.12871,0.15619,0.03158,3.36902,14.6091,0.82166,0.00185647,0.00185647,0.00185647
4,514.525,3.44352,11.2408,0.94109,0.41726,0.12057,0.10976,0.01833,3.40386,10.8533,0.87557,0.001802,0.001802,0.001802
5,643.526,3.3693,8.61637,0.93675,0.24723,0.16832,0.07572,0.01502,3.58392,9.70851,0.86789,0.001736,0.001736,0.001736
6,767.328,3.40029,7.43468,0.91458,0.57482,0.22756,0.2452,0.05758,3.03497,10.3199,0.88125,0.00167,0.00167,0.00167
7,895.812,3.17855,5.98956,0.91491,0.63401,0.18868,0.26117,0.07714,2.62168,6.00668,0.84424,0.001604,0.001604,0.001604
8,1016.5,3.14882,4.66904,0.89524,0.2806,0.21782,0.11024,0.02557,3.28146,6.22323,0.84794,0.001538,0.001538,0.001538
9,1143.9,3.07634,4.47058,0.91471,0.61536,0.39604,0.42169,0.09451,2.96078,4.90317,0.8314,0.001472,0.001472,0.001472
10,1259.12,2.90892,3.82309,0.88141,0.58109,0.45545,0.42022,0.15015,2.51458,4.21061,0.83308,0.001406,0.001406,0.001406
11,1385.87,2.89266,3.40853,0.89503,0.71256,0.45545,0.44586,0.15401,2.32146,3.19029,0.82767,0.00134,0.00134,0.00134
12,1518.72,2.82914,3.30488,0.88438,0.68767,0.43564,0.44123,0.12239,2.42907,3.22275,0.8246,0.001274,0.001274,0.001274
13,1653.86,2.84618,2.91221,0.88503,0.63002,0.40594,0.40171,0.13434,2.3681,3.24321,0.81794,0.001208,0.001208,0.001208
14,1768.19,2.82781,2.79784,0.88238,0.72603,0.50495,0.51711,0.15539,2.2676,2.88494,0.81698,0.001142,0.001142,0.001142
15,1891.37,2.66327,2.52891,0.85318,0.50354,0.45192,0.39218,0.12964,2.46197,2.88777,0.82218,0.001076,0.001076,0.001076
16,2015.04,2.61558,2.50406,0.8718,0.74666,0.50495,0.56881,0.20281,2.15293,2.52541,0.81084,0.00101,0.00101,0.00101
17,2135.83,2.65048,2.28376,0.86137,0.5979,0.44554,0.46757,0.16738,2.22713,2.54354,0.8077,0.000944,0.000944,0.000944
18,2253.82,2.51391,2.07065,0.86083,0.62106,0.39604,0.43752,0.16147,2.26524,2.40342,0.81616,0.000878,0.000878,0.000878
19,2369.96,2.53923,2.06657,0.87094,0.69629,0.53465,0.54115,0.16639,2.26076,2.27134,0.81979,0.000812,0.000812,0.000812
20,2480.91,2.48987,2.00678,0.84736,0.68956,0.53465,0.5398,0.2073,2.0599,2.11848,0.81081,0.000746,0.000746,0.000746
21,2592.86,2.29264,2.28038,0.81911,0.75112,0.55446,0.5797,0.2348,2.18623,2.07151,0.8092,0.00068,0.00068,0.00068
22,2706.48,2.23032,2.03405,0.83877,0.63016,0.51485,0.54243,0.20989,2.10962,2.17969,0.81124,0.000614,0.000614,0.000614
23,2814.58,2.29384,1.92666,0.86823,0.816,0.52694,0.58899,0.2239,2.20696,1.95791,0.80891,0.000548,0.000548,0.000548
24,2926.95,2.21819,1.77208,0.84712,0.71169,0.51326,0.55464,0.19932,2.28903,2.01857,0.81039,0.000482,0.000482,0.000482
25,3041.47,2.17696,1.7278,0.84141,0.73473,0.49364,0.58239,0.21135,2.2038,2.01255,0.81304,0.000416,0.000416,0.000416
26,3158.88,2.24363,1.76064,0.85755,0.64216,0.53465,0.54414,0.22417,2.05238,1.85836,0.80835,0.00035,0.00035,0.00035
27,3277.56,2.12634,1.75982,0.82536,0.74872,0.54455,0.59774,0.24816,2.02765,1.76813,0.80932,0.000284,0.000284,0.000284
28,3398.15,2.17873,1.82973,0.8445,0.70857,0.52964,0.57096,0.25162,1.97195,1.7316,0.80652,0.000218,0.000218,0.000218
29,3515.15,2.05463,1.6342,0.84896,0.69747,0.53465,0.58474,0.25011,1.96006,1.73191,0.805,0.000152,0.000152,0.000152
30,3638.12,2.15494,1.63238,0.83293,0.71461,0.53465,0.59211,0.25231,1.95476,1.74839,0.80268,8.6e-05,8.6e-05,8.6e-05
