epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.125,2.38138,28.2788,0.77744,0.47607,0.18935,0.1435,0.05036,2.59008,24.742,0.7452,0.000662879,0.000662879,0.000662879
2,737.544,2.55858,15.6614,0.75177,0.26879,0.11834,0.06378,0.01486,2.80118,13.2779,0.75891,0.00128567,0.00128567,0.00128567
3,1101.63,2.47235,7.06842,0.78405,0.28523,0.19834,0.08363,0.02673,2.53526,7.7421,0.76644,0.00186446,0.00186446,0.00186446
4,1459.15,2.35958,3.77635,0.78875,0.54428,0.21202,0.22843,0.08106,2.62781,3.82058,0.78367,0.001802,0.001802,0.001802
5,1829.52,2.24467,2.5541,0.78117,0.67432,0.18935,0.20828,0.07592,2.69636,2.84238,0.76431,0.001736,0.001736,0.001736
6,2204.69,2.15759,2.18138,0.73972,0.66689,0.26331,0.26701,0.09346,2.43739,2.40137,0.79324,0.00167,0.00167,0.00167
7,2579.59,2.16324,1.91149,0.77481,0.65915,0.2426,0.26439,0.1003,2.48336,2.1433,0.77016,0.001604,0.001604,0.001604
8,3082.55,2.08715,1.65406,0.75342,0.84555,0.2426,0.29397,0.12015,2.30535,1.93521,0.7746,0.001538,0.001538,0.001538
9,3415.67,1.97711,1.48511,0.7408,0.84497,0.29586,0.35112,0.14635,2.29309,1.6036,0.77963,0.001472,0.001472,0.001472
10,3878.73,1.91923,1.28399,0.73021,0.67057,0.28908,0.33673,0.14786,2.25007,1.58439,0.76981,0.001406,0.001406,0.001406
11,4221.62,1.80483,1.22527,0.72166,0.8531,0.30473,0.37164,0.17017,2.0071,1.5109,0.76418,0.00134,0.00134,0.00134
12,4585.99,1.82712,1.19013,0.73238,0.72016,0.27219,0.2984,0.11244,2.25307,1.38323,0.76677,0.001274,0.001274,0.001274
13,4949.26,1.77145,1.12777,0.74513,0.80866,0.28994,0.3401,0.15428,1.99725,1.33792,0.76176,0.001208,0.001208,0.001208
14,5305.49,1.7874,1.03206,0.73719,0.84775,0.31301,0.3783,0.1789,1.90245,1.13035,0.76134,0.001142,0.001142,0.001142
15,5691.34,1.63065,0.96704,0.76702,0.8577,0.28698,0.40935,0.21189,1.77205,1.31712,0.76316,0.001076,0.001076,0.001076
16,6055.19,1.61103,0.98222,0.76519,0.75017,0.26923,0.32841,0.16412,1.95618,1.25855,0.77155,0.00101,0.00101,0.00101
17,6419.75,1.66064,0.9588,0.75294,0.7588,0.2929,0.35244,0.1471,2.21957,1.16046,0.75786,0.000944,0.000944,0.000944
18,6789.69,1.75791,0.97512,0.76855,0.81706,0.31714,0.39775,0.18489,2.0063,1.07473,0.76142,0.000878,0.000878,0.000878
19,7137.87,1.64082,0.93082,0.7595,0.77002,0.32249,0.40519,0.20904,1.81717,1.23715,0.76731,0.000812,0.000812,0.000812
20,7513.18,1.59534,0.95387,0.7174,0.87445,0.30473,0.42956,0.23101,1.782,1.18303,0.75969,0.000746,0.000746,0.000746
21,7875.47,1.45871,0.81878,0.70845,0.89095,0.29006,0.45714,0.24497,1.73749,1.25894,0.76161,0.00068,0.00068,0.00068
22,8249.9,1.40629,0.88911,0.68876,0.83001,0.34671,0.39577,0.19164,1.8438,1.13636,0.76492,0.000614,0.000614,0.000614
23,8586.78,1.40679,0.82555,0.70247,0.87664,0.31538,0.42405,0.20977,1.90811,1.04966,0.76381,0.000548,0.000548,0.000548
24,8930.83,1.38851,0.80119,0.69351,0.82935,0.31632,0.42018,0.21051,1.88544,1.04211,0.75813,0.000482,0.000482,0.000482
25,9290.88,1.36214,0.77404,0.68681,0.82358,0.31953,0.40837,0.20484,1.76617,1.07915,0.76697,0.000416,0.000416,0.000416
26,9652,1.35008,0.7492,0.69395,0.87475,0.3432,0.45622,0.23385,1.73617,1.06305,0.76455,0.00035,0.00035,0.00035
27,10006.5,1.28561,0.76711,0.69235,0.81499,0.33432,0.43196,0.22598,1.7005,0.99982,0.76287,0.000284,0.000284,0.000284
28,10397.5,1.2715,0.66712,0.71663,0.8853,0.34252,0.45095,0.24604,1.66885,0.99304,0.76196,0.000218,0.000218,0.000218
29,10756.8,1.16513,0.66382,0.68732,0.87919,0.3284,0.4389,0.24098,1.68648,0.98153,0.76102,0.000152,0.000152,0.000152
30,11106.1,1.23369,0.68428,0.67866,0.89871,0.34126,0.46112,0.25348,1.65273,0.97138,0.76137,8.6e-05,8.6e-05,8.6e-05
